Email_MD5,Purchase_Date,EmailMD5,Delivered_Date,Creative
55a00b925659a5ccfb13cd9f25abd0c7,7/4/2021,55a00b925659a5ccfb13cd9f25abd0c7,7/1/2021,Creative3
cf5f8bf4fdf232ff3f0bc3ce1faa9bae,7/3/2021,cf5f8bf4fdf232ff3f0bc3ce1faa9bae,7/1/2021,Creative1
4a230de8742cd6d7229f5d34efc390c0,7/2/2021,4a230de8742cd6d7229f5d34efc390c0,7/2/2021,Creative3
4e33d29a92a0c4f07e00fd8f2c81eafe,7/3/2021,4e33d29a92a0c4f07e00fd8f2c81eafe,7/3/2021,Creative3
934389bab0d80b08e065d8fa99e0bade,7/4/2021,934389bab0d80b08e065d8fa99e0bade,7/2/2021,Creative2
1cc010a204666bb6066387882ffb3cc9,7/7/2021,1cc010a204666bb6066387882ffb3cc9,7/5/2021,Creative2
3fdde52d857937ecb0dedd8ab49840bb,7/6/2021,3fdde52d857937ecb0dedd8ab49840bb,7/3/2021,Creative2
86e65863059548b3305030fcf1601166,7/9/2021,86e65863059548b3305030fcf1601166,7/7/2021,Creative2
d1b44ffca479b9a891b84de886883766,7/5/2021,d1b44ffca479b9a891b84de886883766,7/5/2021,Creative3
2a4f4a2ba5016a78af3b4d42d5b404a6,7/3/2021,2a4f4a2ba5016a78af3b4d42d5b404a6,7/3/2021,Creative3
b123c48865926141b29c32cd7956d4ac,7/4/2021,b123c48865926141b29c32cd7956d4ac,7/1/2021,Creative1
6f36c373f5a60448cd27727de22c6f35,7/4/2021,6f36c373f5a60448cd27727de22c6f35,7/2/2021,Creative1
9d000899ba78ab0e23e1124de34202df,7/9/2021,9d000899ba78ab0e23e1124de34202df,7/6/2021,Creative2
6259a04b23ccf6ec00bd36ad5df45107,7/4/2021,6259a04b23ccf6ec00bd36ad5df45107,7/2/2021,Creative3
903b28b6df3709d5c517c7e7c1581e7e,7/3/2021,903b28b6df3709d5c517c7e7c1581e7e,7/3/2021,Creative1
890b94ca9fd996ef42c96c33cec021b3,7/7/2021,890b94ca9fd996ef42c96c33cec021b3,7/5/2021,Creative3
890b94ca9fd996ef42c96c33cec021b3,7/5/2021,890b94ca9fd996ef42c96c33cec021b3,7/5/2021,Creative3
0137fc7585a40bf7ef3f011231b8b433,7/9/2021,0137fc7585a40bf7ef3f011231b8b433,7/6/2021,Creative3
6c36c9b2349c82631f340bde43164e67,7/5/2021,6c36c9b2349c82631f340bde43164e67,7/5/2021,Creative3
